"PathwayName	PathwayDesc	Genes",
"COG(J) Translation and ribosomal structure and biogenesis	Translation and ribosomal structure and biogenesis	944846	945310	946906	945854	947783	945769	947175	946223	945555	946452	947058	947882	944939	944889	948967	945458	947707	948558	947845	947846	947838	948482	947816	947874	944761	945382	945382	946643	946251	948484	948483	947817	947818	947819	947820	947813	947814	947809	947800	947802	947803	947795	947791	947792	946793	947828	949000	945564	946989	947687	946643	946348	947789	948855	945506	946385	947894	947686	947811	947808	945484	947445	945765	947806	947810	947801	947798	947784	945190	946969	949002	946379	946493	948119	947448	948489	947683	947779	946941	947103	948216	946674	948661	946122	948721	947780	948490	946278	947454	944960	948425	947807	947804	947805	1450238	949057	944866	946318	944759	944806	946225	946349	945152	947689	945067	947664	946430	948690	945657	947096	947099	949130	946328	948250	948720	948723	945500	946909	946539	947974	946222	949116	948248	944912	946917	946460	948514	948894	947847	947051	945690	948222	947497	947793	948785	947684	947578	945536	946262	945637	947087	947242	948610	948924	947066	948161	948694	947214	947027	948215	947034	947318	947553	945260	945465	948419	948156	947977	948080	948079	947680	947270	945237	948684	947101	944905	947439	946249	945993	946609	949115	949117	947577	947685	945601	945564	946691	947036	946983	948674	947291	947672	946046	947369	945701	945840	945378	948519	947912	947372	948645	946304	946760	945816	945650	946478	946053	948378	944848	945641	947744	947688	947129	947718	945239	948686	944845	948444	946910	945998	946117	947056	947943	947929	949112	947984	945618	947797	948858	948124	945509	944810	946987	947844	948688	947708	947260	947243	947143	948672	945158	947063	947083	946303	947589	948892	945537	945391	945614	945779	946805	947270	945023	947853	947283	948012	948751	1450289	944911	948773	948363	946807	944938	945567	947057	946348	948103	949065	948897	946800	947047	946751	947157	947614	947591",Translation and ribosomal structure and biogenesis
"COG(A) RNA processing and modification	RNA processing and modification	2847707	948675",RNA processing and modification
"COG(K) Transcription	Transcription	948488	948487	947682	947794	946379	946493	948327	948485	947043	947244	948159	948523	948692	947210	947567	947970	947033	944757	949034	947507	945417	945278	945001	945139	945216	945219	944869	945523	945771	945930	945831	948865	946079	946136	945208	946316	946502	946501	946532	946657	946769	948828	946862	946873	947000	947064	947278	947311	944867	947401	947562	947621	947494	947760	948035	948107	948227	948284	948310	948462	948852	947411	2847698	947136	948013	945104	945046	945003	945302	946182	945697	946199	946486	946605	945369	947913	948404	948631	948922	948874	944871	945054	947789	947546	947696	2847706	945332	945735	949029	947786	948566	947439	947995	945529	948297	946004	947884	949089	948824	945681	945683	947024	945669	945590	945591	946099	946091	946090	946339	948070	944981	945516	945421	945075	947425	946150	946166	947704	948158	948460	948650	948775	945437	947437	945453	945869	946272	948942	947204	946905	947636	948381	948706	946830	945886	946000	946241	948911	945016	945938	945333	946129	944752	948084	948524	949100	947861	946065	947714	945091	949051	946640	948259	947050	946839	944804	945007	945875	947104	945226	949043	947305	947314	947586	948086	948266	948427	948760	949058	947946	948469	947442	947584	948881	948730	944850	945434	946373	946568	947030	948603	948160	946014	946087	948055	948881	945887	948703	945825	946167	945282	944986	947114	949086	945285	945664	945510	947023	947757	948596	947536	945279	948693	945719	945746	948544	945499	947639	945366	947911	944827	948652	947466	947602	945468	948122	948849	2847767	948263	945371	946639	947885	948194	948368	948617	947079	949119	945795	946424	946421	949081	947441	946841	948036	948178	948896	948889	944780	945616	945163	948797	949114	945941	945922	947613	945095	946247	946590	946856	946911	947491	948029	948028	948086	948186	948396	948451	948567	948627	948637	948916	948302	948560	947309	946070	948827	947830	946684	944966	947459	946467	945263	948021	947697	947921	945829	947130	945814	948071	947851	948917	948435	946504	948496	945473	949024	947395	945879	945743	946758	1450232	945966	947960	948886	947186	947181	945094	948916	947327	946265	948653	947009	948235	948389	946861	948116	944987	947320	946887	946650	944860	945600	945923	944788	949093	947008	948640	944891	948938	947928	945864	948397",Transcription
"COG(L) Replication and recombination and repair	Replication and recombination and repair	947371	944852	947122	948559	947501	948211	946614	947499	948347	948292	947206	947256	948356	945320	946765	946479	946885	948164	948555	948996	947203	948691	946955	947893	945853	946710	945100	947570	944922	946359	947005	944779	949076	945049	948978	947170	945661	947211	948676	947105	947287	945425	947153	947055	947674	948290	948318	947694	945862	946141	945862	947782	948523	945385	946976	946821	946923	946160	944877	948218	946977	948217	947367	948570	946369	946669	947067	946254	948356	2847708	949095	945533	945472	948499	947662	947439	946378	946441	946159	946361	947695	945478	945529	948912	946227	947286	947447	948209	945681	948426	945431	946305	948162	946156	947111	948966	947294	947038	947573	945926	948864	948502	945884	946988	945069	945845	945166	945721	948973	946088	944930	946514	947125	948968	946435	946710	946371	945505	946465	949092	945105	947137	947671	945953	944847	945871	946529	948787	948722	948585	944749	945630	948890	945272	947299	946690	945570	946364	946708	945524	946546	945805	945498	947560	945917	946476	945071	945174	947351	948355	947162	947362	948832	948836	944781	946737	946787	947917",Replication and recombination and repair
"COG(B) Chromatin structure and dynamics	Chromatin structure and dynamics",Chromatin structure and dynamics
"COG(D) Cell cycle control and cell division and chromosome partitioning	Cell cycle control and cell division and chromosome partitioning	944786	948358	945798	947409	946567	946627	947694	944799	945240	946322	945238	944778	945744	945740	948588	946992	945206	947417	947821	944823	945102	947227	947655	947736	944982	947969	946365	945127	947968	945741	946228	946033	945548	947404	946376	948727	948420	945241	948428	945550	945549	946869	944803	944971	947930	948856	944873	945132	948129	947335",Cell cycle control and cell division and chromosome partitioning
"COG(Y) Nuclear structure	Nuclear structure",Nuclear structure
"COG(V) Defense mechanisms	Defense mechanisms	945599	946357	947624	948771	948769	948872	945915	945225	946383	947072	947300	947519	947906	946506	948554	945883	945164	944991	949045	945066	946481	947666	948867	947331	948729	948607	945101	945108	946606	946608	945464	947768	948030	944836	945403	945411	947991	947998	945112	945189	947322	946604	947706	948031	944833	945413	945413	947998	947998	945092	945088	945530	946884	947229	945852	949122	947228	945414	946499	946840	947166	947748	948003	948106	948110	948598	946001	946904	946907	948669	948898	946043	946086	948919	947639	947549	948442	947333	946139	948671	944920	946542	948406	947245	948739	947252	948747	945078	946782	944911	944974	944914	948308	948800	946040	947903	945727	945563	945426	947540	946678	948878	1450274	945335	946191	946203	945266	948880	948868	947591	947593	947224	947222	947223",Defense mechanisms
"COG(T) Signal transduction mechanisms	Signal transduction mechanisms	946970	948291	947043	947244	948159	945087	947016	945236	946564	947587	945841	947788	947788	945229	945904	945904	945948	946404	948007	948415	944770	945595	946326	948870	946717	948993	946844	947013	947255	947174	947272	948405	948506	948632	948609	947887	946401	948145	948322	945908	946670	947867	947681	945046	945003	945302	946182	945697	946199	946486	946605	945369	947913	948404	948631	948922	948874	945595	945855	946393	948993	946844	947255	947887	946938	944872	948981	948988	948833	945309	949030	946844	946844	946400	945995	946397	946399	945301	948884	945988	945059	948707	948369	945683	946396	947515	944855	947176	947727	945063	948044	948010	945355	946633	946852	945125	947721	948389	948391	948715	948831	948437	946207	945887	948703	947168	948689	945749	946677	946852	946886	947914	948437	946086	945719	945746	948544	945499	946815	947872	947079	949119	945795	946424	946421	949081	947441	946841	948036	948178	948896	948889	945595	946717	946844	947255	947887	945037	945463	945593	945909	945815	945835	947422	946075	946366	946290	948969	946471	946600	946864	946968	947091	947702	948048	947459	945462	947592	945738	945815	946217	946336	946600	946695	946864	946968	947702	948042	948048	946394	945868	945909	945815	946600	945301	947887	948969	947444	947042	948361	948505	946744	946487	948346	945985	946297	944863	947734	945784	945693	945220	946981	947054	948920	947755	947053	946685	947052	945872	948950	946392	947473	946489	949027	946723	949024	947395	945233	948639	945749	946600	946064	944883	948886	947186	947181	947301	949104	944987	947320	944860	945788	946948	947255	948195	949011	948360	946672	947008	948640	944797	947028	947928	948951	948568	947255	945868	945044	945978	946611	947958",Signal transduction mechanisms
"COG(M) Cell wall/membrane/envelope biogenesis	Cell wall/membrane/envelope biogenesis	944925	946952	947742	948825	944789	945410	947375	948296	948834	946555	946565	946588	946579	948144	948149	948241	945495	946538	946563	947683	948134	946543	946570	945275	949098	948140	944814	948789	945235	944783	946661	946798	947490	947643	944800	946243	945935	945898	947416	948977	947303	948214	946321	946536	945604	945334	945487	948733	946376	947011	947352	945694	945655	945428	948908	944843	947728	1450303	944838	947703	947732	944799	945240	944791	944813	944818	946153	948752	944816	945754	948564	944899	945210	946220	946686	947587	947734	948795	945324	948467	945241	945843	948470	946201	946580	945112	945189	947322	946604	947706	948031	948135	948136	948147	948155	946916	947293	948683	946571	944849	944882	944932	946583	945354	945276	948300	946562	947117	947729	945164	945670	947725	946324	945313	948246	945154	948299	945730	946560	945539	945055	944765	945079	947326	949125	948888	945441	945666	946174	945273	945694	945546	946215	948142	948143	945011	945619	947712	949048	946982	946288	947521	948583	945660	945586	946558	945756	945526	945222	945455	946518	946662	946681	947717	947348	947297	947482	948301	947920	947787	947693	946893	947736	944982	946583	945532	945360	947711	948068	948458	948629	947645	947875	946557	946581	948294	947716	946569	946810	944964	947659	948895	944861	948307	948989	945582	947710	945969	947548	945785	945004	945571	947094	948075	947756	949053	945583	945624	949003	947598	947184	944858	946257	946582	948043	945541	944999	946353	945653	946352	946352	946972	946782	945775	948877	945494	944910	948670	945128	949106	946625	947684	946312	948022	946685	947663	947954	947722	945005	945994	945709	946801	946218	944926	945554	946313	946716	945737	947409	946567	946242	948402	945132	948676	948077	948148	946954	948536	945767	944851	946595	946540	944967	945571	946301	948097	945543	945180	946553	944815	946812	947539	946100	946811	947086	946175	946832	945185	945673	945665	947028	944870	947029	947673	946013	946126	945881	947258	947261	2847765	947152	947907",Cell wall/membrane/envelope biogenesis
"COG(N) Cell motility	Cell motility	945656	2847752	2847741	948795	945324	946457	945308	945849	945606	948053	945648	946300	947564	946390	946456	946462	945646	949101	946428	946402	946391	945806	947829	946429	946451	946687	946443	946446	946464	947534	945636	946448	945678	945813	946442	946423	946463	947467	947840	946996	945393	947827	947834	947833	946684	947481	947823	947430	946454	946392	946449	947898	944819	947606	945160	946537	946934	946617	947656	947738	948844	946042	946458	945634	944837	944835	944829	944828	944841	945522	945407	944977	945325	948306	947185	945561	945562	946049	946047	946619	946788	946779	946818	949109	947522	947658	947654	948838	948841	948845	948846	947456	945647	945639	945797	945817	947908	947609",Cell motility
"COG(Z) Cytoskeleton	Cytoskeleton	948588	947655",Cytoskeleton
"COG(W) Extracellular structures	Extracellular structures	945806	947829	945393	947827	947834	947833	947481	947823	947430	944859	945367	945110	946773	945559	946621	946418	947531	947657	947741	948843	947898	944819	947606	945160	946537	946934	946617	947656	947738	948844	946042	945797	945817	947908	944741	948047",Extracellular structures
"COG(U) Intracellular trafficking and secretion and and vesicular transport	Intracellular trafficking and secretion and and vesicular transport	947799	949120	949133	947102	947978	944800	944821	945531	947040	948486	948328	948900	945420	945429	948198	945328	946345	946457	947381	947720	946456	947822	945806	947829	946429	946448	945228	948321	948319	945374	946423	948123	947467	947840	945393	947827	947834	947833	945531	947481	947823	948742	947824	946709	947025	947841	947831	947952	947842	945634	945767	944851	946595	946540	948851	948985	947832	947901	947040	944741	948047",Intracellular trafficking and secretion and and vesicular transport
"COG(O) Posttranslational modification and protein turnover and chaperones	Posttranslational modification and protein turnover and chaperones	944963	948192	948200	948734	947188	948655	947139	947812	947865	946169	947192	948020	947182	944857	949014	946999	947925	945099	947257	948698	948697	946084	948016	947384	947195	948004	947194	946128	946219	947189	946909	946539	947974	944750	945218	947234	944885	948665	947690	945085	944753	947572	949054	945534	946076	945173	949073	945764	947077	945081	947850	948726	947097	948282	945858	946281	946281	945469	946023	945758	946749	946763	947472	944744	948113	945981	948179	949013	949038	947870	947296	947925	945479	947161	948132	947936	944878	945753	945082	944871	946703	944812	946056	948285	947421	947421	946096	947002	945687	947284	944807	947859	945569	948992	946995	946583	945457	946020	948783	948579	945445	945517	948453	948905	945083	948430	946949	947178	947552	946630	946711	946344	945126	945224	947363	948353	946910	945998	946117	947056	947943	947412	948038	945010	947357	945880	948443	947172	945959	946173	947274	947246	945807	946032	945832	947215	946697	945490	946692	944923	944861	944863	948724	947461	947382	944774	945196	946926	948384	945187	948578	947119	947062	948289	948047	946525	945625	945609	945987	946436	946253	948507	2847688	945578	946714	948649	946623	948592	946700	947029	947040	945504	949052	948429",Posttranslational modification and protein turnover and chaperones
"COG(X) Mobilome: prophages and transposons	Mobilome: prophages and transposons	946976	946821	946923	946160	944942	944743	947698	944950	945009	945867	947949	38094937	944913	944937	944948	945203	945036	947988	945587	945952	946403	946629	947346	947517	948081	948779	949005	945968	948815	945693	944952	945025	946900	945759	945584	945967	946616	947347	947520	948082	948781	946455	944941	946163	944917	945896	945944	946507	946577	949121	947516	947743	948015	38094952	946758	1450232	944940	948805	948449	944946	944951	945800	947950	948830	38094938	1450250	945707	945172	946021	945708	945698	945176	945176	947435	947435	947435	947992	947992	947992	1450245	946062	946060	945171	948813	945178	945733	945992",Mobilome: prophages and transposons
"COG(C) Energy production and conversion	Energy production and conversion	947854	945312	948244	948242	947298	946298	945314	946147	948748	948243	948125	945508	946267	946035	946055	946135	945268	946389	947093	946915	948394	948438	946189	946735	2847717	946189	946653	947353	2847709	2847718	946778	946940	946947	946031	946947	946775	947635	946295	945984	948245	948252	945212	948440	947528	945323	945580	945182	946738	946585	948329	947138	948979	947402	945947	948225	947615	945507	948794	945638	947308	948749	945544	944842	948395	948581	944798	946319	945300	948666	944794	944794	944794	945307	945702	948325	947895	948423	945303	946713	947934	947848	948556	947660	945563	945962	946329	946729	947160	948958	946212	946114	948197	946759	947492	948994	946961	946962	945327	945197	945261	947389	947388	947263	946587	945575	947428	948982	948247	948878	948254	947580	945293	947151	947361	948249	945778	945483	946591	945964	946764	946756	945615	946759	946761	945136	947731	945540	947290	946587	946587	947018	947660	945962	946329	947018	948414	946762	947056	945380	946724	944864	946315	948074	945402	948667	944988	948783	948579	944980	945780	946034	947383	946959	947190	948002	949016	949018	948085	946587	946757	946965	947048	946813	949068	946592	947569	944854	946092	948014	948461	947088	947868	946792	945304	945341	945585	946144	945347	947547	948039	948591	948121	945710	947205	949071	946073	947506	945837	946233	947273	948102	948393	944961	947116	949079	945906	944792	947259	948114	945080	945579	945902	946826	947568	948642	946897	946594	946192	945667	945444	945514	948454	947623	946753	946164	947594	946746	946826	947565	948642	945213	948914	945581	947493	945316	948939	945688	946413	946484	948342	945412	948096	945330	945148	949079	947316	946482	947240	945322	945807	946032	945808	946029	948517	948857	948512	946697	948457	948756	948590	946214	945120	944834	946483	948622	945375	946038	948383	946146	944758	946252	946490	946706	948680	945628	947241	946491	946698	945230	945415	945231	948384	944822	945000	946575	948668	948578	944918	946966	947191	946964	947396	946964	947396	945755	946628	946628	945502	945822	948251	946074	948575	946085	946623	948592	945298	946945	946912	946942	946137	946148	946134	946158	947509	945504	949052	945782	945999	948615",Energy production and conversion
"COG(G) Carbohydrate transport and metabolism	Carbohydrate transport and metabolism	945865	947420	945271	947896	948595	948829	947679	947413	947931	947922	947407	947414	944928	946362	946829	948277	945032	948409	945358	948753	948535	944748	945449	947006	948439	946291	946636	947415	947644	948412	945294	947197	947282	948099	948401	948711	945861	946688	948117	946795	945542	948098	948714	949134	947661	947940	947932	946554	945290	947985	948229	946370	949131	945659	946434	948088	948762	946405	945359	945390	945892	947959	945246	948918	947942	946179	946527	949070	945377	946766	947576	947285	946584	946285	946637	946640	946664	947886	948041	948260	948382	946209	946702	948069	945497	948422	945068	945891	945632	946777	945776	948232	946247	946580	946572	948130	945942	946081	946461	947699	948176	948309	948445	948732	948602	946536	945604	945334	945471	947487	947869	947587	947734	946367	2847766	946858	947890	948910	944975	946036	948802	946017	946069	946193	946022	948133	948101	948399	945749	946852	946879	948437	947427	948367	2847758	945357	946230	946676	946574	947692	945680	946408	949036	948990	948127	948264	948593	2847725	946105	946264	949063	948262	948594	948743	948754	948923	945888	947957	948532	945292	945651	946009	946894	948236	948761	2847722	2847721	947154	945292	945651	946009	946894	948236	948761	2847722	947154	945355	946672	949111	948390	948448	947082	945453	945869	946272	948942	947204	946905	947636	948381	948706	946830	946848	948388	948840	945339	945355	946672	949087	948390	948447	948452	946244	945982	945671	946682	944840	946266	948636	948187	944855	947410	948424	948169	948376	947941	945895	948092	945757	948037	948091	947923	945696	947962	945355	946633	946852	945125	947721	948389	948391	948715	948831	948437	945574	945289	948853	946071	946632	948267	946406	946289	945418	946409	949041	947020	948261	948604	948746	947599	945749	946677	946852	946886	947914	948437	945129	947632	949086	945285	945664	945510	947023	947757	948596	944943	947017	948375	945931	948141	946967	945467	947511	948538	945292	946880	948236	944947	947484	946495	948168	948371	948635	948377	945256	948118	948705	944766	946196	946198	946274	946293	946704	945796	947265	947601	947642	948201	948184	948196	948365	948879	38094960	945406	945748	945747	946195	944990	949103	947208	948798	949102	948848	947924	2847760	948641	948659	946398	947603	947641	947460	947378	948234	947581	947750	948094	948777	944997	949077	945058	945448	945515	945627	947218	946083	946138	947340	946048	946601	946673	944808	946791	946835	947069	947167	947238	947341	947434	947740	947982	948177	948213	948180	948219	948265	948626	948807	948861	944793	946077	948128	947397	946334	948374	945624	946236	947745	948717	948093	945006	946149	947583	947937	946066	946231	947199	948046	947596	946610	948716	1450295	946334	947648	947653	944949	946186	947207	948100	948712	948373	948608	946332	947652	946342	947649	947319	947575	948971	948933	948207	946472	946849	948530	948054	947630	947953	948537	946672	947862	945842	949039	948090	948083	946641	947637	948228	948548	946677	948118	945381	948400	944830",Carbohydrate transport and metabolism
"COG(E) Amino acid transport and metabolism	Amino acid transport and metabolism	948455	946853	947385	948335	947715	946680	947313	946132	946845	948182	948793	946877	946888	946549	948286	948286	945076	945642	947724	947724	947724	946058	948027	947081	944844	948774	945826	946551	946814	947498	946521	946516	947022	946647	948278	946544	947465	945012	945528	944928	946362	946829	948277	946552	945768	945519	945519	946797	947939	947590	946515	946515	946531	945846	946337	946204	945446	948067	948463	946200	947776	946202	948370	947217	947230	945484	947445	945294	947197	947282	948099	948401	948711	944879	946552	946278	947454	948364	948766	948791	946425	947115	944762	947253	944925	946952	947742	948825	946802	947927	945034	945087	947016	945281	947394	947390	947947	947961	947967	947726	945211	946772	946850	947267	948183	945818	946002	947989	948065	945802	944775	944775	945803	948433	944798	946319	949049	947383	949068	949018	947594	947723	945198	949025	945600	947393	945109	947873	946185	947275	945803	948433	948531	945363	945422	945518	946287	946057	945159	946533	947878	948628	948654	948656	948679	947579	945424	945109	947289	948464	944984	944972	947358	947965	947026	948913	945602	945460	945823	946044	947986	948063	948323	948323	945150	948313	947360	948456	946240	948434	948522	944983	945752	945072	946800	947964	947971	948432	945480	945682	946005	945942	946081	946461	947699	948176	948309	948445	948732	945031	2847759	946768	946210	945605	946229	947084	945459	945873	946052	947981	948062	947474	947249	948699	947354	945443	945621	949105	947764	948166	946412	947264	945028	947629	947675	948057	948220	947628	946284	946667	946938	944872	948981	948988	948833	945309	949030	946844	946844	947394	948658	946573	948126	949067	945971	946127	946292	946299	946598	947019	948139	944769	948883	2847686	947004	946018	945050	945199	946019	948049	948725	945400	945042	944745	947987	946659	945254	945435	946422	947763	944896	947432	946004	947884	949089	945937	947012	947633	948287	945461	945810	946028	947990	948064	949028	946660	945475	945692	945976	945485	945691	945903	946437	947289	948387	948599	948772	946010	947418	944968	946157	947065	948317	948316	945093	946848	948388	948840	948477	948522	945456	945553	948563	946039	948662	945318	947719	947081	947115	946331	946331	947262	947262	2847724	2847724	946358	945789	946238	948513	945527	945213	948914	944887	945297	947457	948638	948643	945317	944955	944894	946143	945311	946187	944973	945882	945836	947132	947938	948741	947165	944862	945013	946333	945832	947215	947142	948258	946831	946950	946875	946256	948221	946837	948435	946733	947368	947436	948006	948644	946261	944979	945879	948856	948520	947889	947605	2847723	946259	947676	945476	946323	946007	948087	948279	949066	946790	945489	945830	945951	946675	947140	947148	947145	947966	949046	947235	945600	946925	946924	947765	946789	948056	946935	946936	946939	946914	946937	947588	946933	1450273	946255	947120	947864	947045",Amino acid transport and metabolism
"COG(F) Nucleotide transport and metabolism	Nucleotide transport and metabolism	946878	945695	945153	946368	946794	946979	949031	945134	947359	947032	947032	948685	948685	948695	945611	945663	947310	947477	947429	948503	946975	948504	946957	945556	949037	949068	948163	949035	946732	947149	946612	947155	948901	947177	946970	948291	948902	945535	947121	946663	946663	946973	947239	944976	944996	949072	947366	945787	944775	944775	948157	945772	944817	945113	946116	949025	948986	946985	946985	947334	947334	944989	948549	948767	945097	946597	945857	946624	945283	946593	947331	948729	948607	948542	946508	945827	945654	948210	944824	945689	946277	946559	946740	949037	945055	948755	945834	944994	947266	947158	948763	945851	946771	946834	945138	944796	945503	946646	946655	946671	946895	948919	945131	946589	946978	949075	949017	948172	948174	948224	948565	2847748	948406	946699	946485	948498	948987	945048	945141	945563	945149",Nucleotide transport and metabolism
"COG(H) Coenzyme transport and metabolism	Coenzyme transport and metabolism	946892	947880	946132	946845	948182	948793	947049	948326	946453	948286	948286	947092	944865	947526	945073	946431	946785	945258	945017	946647	948278	945620	945387	944927	945064	947364	945846	946337	945384	948138	948869	945376	949033	946946	947217	947230	947759	945484	947445	945221	945389	949129	945167	949060	946806	944790	947532	945451	947691	945067	949040	945454	945848	945399	945397	945227	945217	947423	945824	948469	946459	948491	946520	945777	945351	948540	945390	948497	946908	944839	944958	948492	946909	946539	947974	948561	946747	949047	945452	948500	945370	948525	945109	947873	944760	945396	948325	945089	945372	945432	945470	948204	2847768	944954	945288	946586	946736	947916	947527	948757	947387	947446	948362	945197	945261	947389	947388	948145	948322	946903	945980	946283	947306	947480	947386	945123	948349	948542	946508	948792	945763	945686	947039	947904	948357	948380	948899	946315	948074	948911	945248	948494	947419	948479	945250	945201	948819	945060	946720	945511	946712	945512	945699	946276	946384	946734	946711	946648	946781	947544	945963	946067	947169	948418	948587	947880	948343	946395	945065	945527	945138	945398	945620	944919	948493	946517	947356	946519	947979	948226	2847702	945839	945557	945643	947677	945142	946197	944903	945388	946340	946380	948926	945547	945329	946387	946607	946162	946881	945392	944881	947524	945912	947669	948545	948915	948911	945350	945426	947068	945366	949084	944785	945751	945877	946306	947752	948468	946205	948331",Coenzyme transport and metabolism
"COG(I) Lipid transport and metabolism	Lipid transport and metabolism	944874	945073	946121	946727	948823	947324	948324	947315	947496	948350	944805	945057	946665	946799	944886	946213	946327	946741	947315	945766	946003	947561	946891	948572	945915	946165	947761	945427	947357	947758	945973	946221	945791	944876	946725	947955	945870	947514	945450	945863	945985	948673	947037	945019	944777	944888	945568	946796	948543	946991	945812	948907	944895	947376	945837	947003	945933	945954	945672	945876	947440	946260	946943	948060	948104	948995	946011	946263	949097	947408	948336	945284	945645	945838	949096	946151	949126	946898	945346	948937	947232	947323	947373	947478	948765	947109	945060	948269	945940	945940	949097	948336	948336	947542	948121	946783	949020	945409	947321	945821	947059	946216	945143	946847	946626	946634	947525	948997	946432	946842	945576	948837	945074	945774	949064	949007	945626	948710	947551	945954	946721	946719	946820	945146	947200	947631	948372	948410	945576	945979	944811	946851	948821	945970	948314	945716	945127	948541	949132	946178	949084	948906	946211	945381",Lipid transport and metabolism
"COG(P) Inorganic ion transport and metabolism	Inorganic ion transport and metabolism	945084	948577	946715	947179	946854	948413	947231	945932	948333	948237	945798	944832	946548	947475	948009	947239	947919	948431	945790	945137	947035	945818	946002	947989	948065	945802	948778	944773	947858	947221	947730	946882	945841	947788	947788	948238	948239	945910	948351	945026	947216	945460	945823	946044	947986	948063	944953	948403	945067	945652	947135	947935	948131	946890	946890	945214	946816	948826	947510	947574	946961	946962	945327	945770	945401	949001	946016	948233	945560	945364	946808	945295	948552	946234	945101	946971	947295	947607	945438	948011	946372	947220	948240	946889	945368	945368	945250	945201	948819	946374	947987	945780	946034	945461	945810	946028	947990	948064	944784	948728	944773	946576	947858	945348	948600	947078	948521	948019	948660	946953	946974	948018	945062	944893	948175	947089	948998	946407	946410	945794	947852	948411	944856	946015	947144	948979	945041	946899	947909	947754	946341	945343	946045	945513	944801	949032	2847757	945859	946270	947736	944982	947015	947881	947508	945807	946032	945808	946029	947839	949078	947450	946106	947972	945119	945783	945799	947248	948066	948315	947582	945181	948272	946106	946770	946309	945603	946500	946913	947219	946505	946993	947836	947461	944772	946875	944758	947554	946698	944822	945957	948188	949015	2847756	948255	948624	945755	948580	948571	946480	948613	946317	948618	948619	948605	948606	948623	948373	946871	947133	945191	948562	945793	949104	946188	948611	948891	945608	945362	945361	946883	2847743	945030	945027	946375	946417	2847739	945792	947538	946838	946705	946990	946325	946998	946576	945193	945961	949042	946427	945649	946246	948612	945209	945782	945999	949080	945188",Inorganic ion transport and metabolism
"COG(Q) Secondary metabolites biosynthesis and transport and catabolism	Secondary metabolites biosynthesis and transport and catabolism	946115	945484	947445	946665	946799	944875	946161	948320	945631	947753	944901	946302	947495	945184	947426	945511	946712	946178	945789	945731	948597	945215	945265	946190	948338	948387	946012	947015	947881	947251	945021	949085	945194	945118	947247	1450243	945184	946447	945833	945956	946178	947595	945939	945939	945394	944768	946689	946679	945122	946683	945008	946945	946912	946942	946997",Secondary metabolites biosynthesis and transport and catabolism
"COG(R) General function prediction only	General function prediction only	945674	945096	946556	946578	944906	945337	947749	948750	944782	946874	947571	944976	944996	949072	947366	947855	945440	945566	947856	948909	944902	945551	949049	947383	949068	949018	947594	947723	946701	948882	948549	945089	945372	945432	945470	948204	2847768	944954	945288	946586	946736	947916	947848	948556	946059	946059	948040	946755	946142	946183	945894	947980	948999	945965	947775	946903	945980	946283	947306	947480	945204	948589	947164	947600	947944	948808	949110	945942	946081	946461	947699	948176	948309	948445	948732	945496	947667	948731	946656	948256	945905	945251	945243	948586	946778	948963	947915	946315	948074	949067	945971	946127	946292	946299	946598	947019	948139	944769	948883	2847686	946784	946813	945937	946324	945313	947733	946335	946566	948735	946780	948121	945512	945699	946276	946384	949127	948477	945002	948108	946478	947650	945950	945742	946626	947891	948334	947620	947945	946125	945725	947860	947717	945041	946382	949008	945165	945383	946771	946834	945886	945095	948396	945155	945644	947996	946012	945557	945643	947677	946750	944767	945520	947512	947857	945760	946311	946920	945716	946743	946956	949085	946145	947302	948647	945192	946526	946296	948621	948446	948330	945804	945474	948193	947456	948089	946286	948657	946310	4056027	948737	947443	946415	947555	947502	945676	947488	947670	949059	945321	948230	948957	945116	945306	948120	947994	948528	948024	946168	948584	946006	1450290	945408	949004	947124	948562	945598	947489	947254	945205	946271	946273	944965	947098	948185	945945	947159	945786	945972	946325	946998	947739	946013	946126	945881	947258	947261	2847765	946960	945991	945991	948073",General function prediction only
"COG(S) Function unknown	Function unknown	945493	946250	946269	948854	947668	945419	947001	946528	946545	947747	947866	948582	948033	948379	948576	945685	945247	948154	945975	945033	947462	947424	948190	947365	947608	947537	949044	945525	947279	948257	946307	948860	945558	945997	946668	949062	948165	947479	949090	949021	947849	947781	946541	948812	947398	946355	946025	945828	946767	945521	948501	948311	947400	946694	948348	948274	947863	946774	945781	947380	946027	945819	946226	947815	945538	945577	946068	946051	944809	944993	945070	945633	945977	945156	947074	946346	947518	947617	947612	948417	948359	948574	2847740	947449	945675	946622	948553	946008	948696	944853	945594	945061	947095	947095	945677	1450285	946652	948648	948811	948634	948817	948416	2847679	947973	946089	945124	948441	948212	946511	945925	946245	948701	945878	944936	947976	947201	945943	947665	946381	948704	945326	1450297	947762	946602	948784	948630	946728	946809	948078	948152	946618	944771	945679	949026	949023	946343	946887	1450246	945859	946172	948352	947611	946730	946730	948903	945086	948700	946466	1450298	948863	2847736	2847737	946827	947060	1450304	948539	945613	948199",Function unknown